Name,Mw,Omega,Tc,Pc,Vc,Zc,Tm,Tb,Ttr,Ptr,Vliq,SolPar,,,,,,,,,,,,,,,,,
1-DODECENE,"168,323","0,5705","657,6","19,048","0,684","0,241","237,93","486,505","237,93","5,85E-07","2,23E-01","16,0917",,,,,,,,,,,,,,,,,
1-TRIDECENE,"182,349","0,6117",675,"17,469","0,756","0,238","250,078","505,927","250,078","6,11E-07","2,39E-01","16,0542",,,,,,,,,,,,,,,,,
1-TETRADECENE,"196,376","0,6482",692,"16,383","0,817","0,236","260,3","524,25","260,3","2,35E-07","2,56E-01","16,094",,,,,,,,,,,,,,,,,
1-PENTADECENE,"210,403","0,6837",708,"15,495","0,875","0,233","269,42","541,61","269,42","1,81E-07","2,72E-01","16,0271",,,,,,,,,,,,,,,,,
1-HEXADECENE,"224,43","0,7319",722,"14,606","0,933","0,23","277,51","558,022","277,51","3,67E-07","2,89E-01","16,077",,,,,,,,,,,,,,,,,
1-HEPTADECENE,"238,457","0,7527",736,"13,916","0,992","0,229","284,4","573,48","284,4","1,03E-07","3,05E-01","16,044",,,,,,,,,,,,,,,,,
1-OCTADECENE,"252,484","0,7901",748,"13,225","1,05","0,226","290,761","587,972","290,761","3,03E-08","3,22E-01","16,1838",,,,,,,,,,,,,,,,,
1-NONADECENE,"266,511","0,8409",760,"12,633","1,1","0,223","296,55","602,17","296,55","4,02E-08","3,38E-01","16,2584",,,,,,,,,,,,,,,,,
1-EICOSENE,"280,538","0,8768",771,"12,04","1,16","0,221","301,76","615,54","301,76","2,52E-08","3,56E-01","16,263",,,,,,,,,,,,,,,,,
cis-2-BUTENE,"56,108","0,2048","435,58","41,875","0,2338","0,274","134,26","276,87","134,26","2,37E-06","8,74E-02","14,72",,,,,,,,,,,,,,,,,
trans-2-BUTENE,"56,108","0,2177","428,63","40,464","0,2377","0,273","167,62","274,03","167,62","7,38E-04","8,93E-02","14,2077",,,,,,,,,,,,,,,,,
cis-2-PENTENE,"70,134","0,2452","475,2","35,924","0,292","0,269","121,75","310,08","121,75","1,82E-09","1,08E-01","15,107",,,,,,,,,,,,,,,,,
trans-2-PENTENE,"70,134","0,2484","474,2","36,121","0,293","0,272","132,89","309,49","132,89","5,67E-08","1,09E-01","14,9722",,,,,,,,,,,,,,,,,
cis-2-HEXENE,"84,161","0,2722",513,"31,187","0,359","0,266",132,"342,03",132,"1,98E-09","1,23E-01","15,3195",,,,,,,,,,,,,,,,,
trans-2-HEXENE,"84,161","0,2613",513,"31,187","0,36","0,267","140,17","341,02","140,17","8,15E-09","1,25E-01","15,3411",,,,,,,,,,,,,,,,,
cis-3-HEXENE,"84,161","0,2787",509,"31,285","0,351","0,263","135,33","339,6","135,33","3,39E-09","1,25E-01","15,2417",,,,,,,,,,,,,,,,,
trans-3-HEXENE,"84,161","0,2854",509,"31,285","0,351","0,263","159,73","340,24","159,73","6,66E-07","1,25E-01","15,2914",,,,,,,,,,,,,,,,,
cis-2-HEPTENE,"98,188","0,2942",549,"28,029","0,424","0,264",164,"371,56",164,"1,55E-07","1,40E-01","15,3677",,,,,,,,,,,,,,,,,
trans-2-HEPTENE,"98,188","0,3372",543,"28,127","0,406","0,256","163,67","371,1","163,67","8,94E-08","1,41E-01","15,457",,,,,,,,,,,,,,,,,
cis-3-HEPTENE,"98,188","0,2949",545,"28,029","0,421","0,264","136,51","368,9","136,51","8,92E-11","1,41E-01","15,5452",,,,,,,,,,,,,,,,,
trans-3-HEPTENE,"98,188","0,3341",540,"28,127","0,406","0,258","136,52","368,82","136,52","2,40E-10","1,42E-01","15,3402",,,,,,,,,,,,,,,,,
cis-2-OCTENE,"112,215","0,3889",572,"25,561","0,461","0,251","172,95","398,79","172,95","4,47E-08","1,56E-01","15,4986",,,,,,,,,,,,,,,,,
cis-3-OCTENE,"112,215","0,38",569,"25,561","0,461","0,252","147,15","396,05","147,15","1,85E-10","1,57E-01","15,4081",,,,,,,,,,,,,,,,,
cis-4-OCTENE,"112,215","0,3854",568,"25,561","0,461","0,253","154,45","395,69","154,45","3,06E-09","1,57E-01","15,2731",,,,,,,,,,,,,,,,,
trans-2-OCTENE,"112,215","0,3384",577,"25,463","0,484","0,26","185,45","398,15","185,45","6,01E-07","1,57E-01","15,4119",,,,,,,,,,,,,,,,,
trans-3-OCTENE,"112,215","0,3438",574,"25,463","0,48","0,26","163,15","396,45","163,15","1,01E-08","1,58E-01","15,3732",,,,,,,,,,,,,,,,,
